Abbr,Term,Country
06OR,Hayden Mountain Airport,US
06PA,Freefall Oz Airport,US
06PN,Schiavoni Heliport,US
06PS,Cherokee Island Castle Heliport,US
06R,Grawunder Field,US
06SN,Beyer Farm Airport,US
06TA,Glaser Field,US
06TE,Ainsworth Airport,US
06TN,Hunter STOLport,US
06TS,Roscoe Mc Connico Airport,US
06TT,6 Mile Airpark,US
06TX,Diamond N Ranch Airport,US
06VA,Mount Horeb Field,US
06WA,N A Degerstrom Yard Heliport,US
06WI,Young Private Airport,US
06WN,Western Airpark,US
06XA,J & W Windy Hill Airport,US
06XS,Campbell Field,US
06Y,Herman Municipal Airport,US
07AA,Pan Lake Strip Airport,US
07AL,Tac X Stagefield Army Heliport,US
07AR,Morrilton Airport,US
07AZ,John C Lincoln Hospital Heliport,US
07B,Blue Hill Airport,US
07CA,West Side Hospital Heliport,US
07CL,Richvale Airport,US
07CO,Comanche Creek Airport,US
07CT,TNT Heliport,US
07D,Tackaberry Airport,US
07FA,Ocean Reef Club Airport,US
07FD,Flying G Ranch STOLport,US
07FL,Southwest Florida Regional Medical Center Heliport,US
07GA,Alcovy Airport,US
07I,Lake Monroe Seaplane Base,US
07IA,Hoskins Landing,US
07ID,Interstate Airport,US
07II,St Vincent Jennings Hospital Heliport,US
07IN,Gray Airport,US
07K,Central City Municipal - Larry Reineke Field,US
07KS,Heape Field,US
07KY,Blue Lick Airport,US
07LA,Air Oil Inc Nr 1 Heliport,US
07LS,Louisiana State Police Troop F Heliport,US
07MA,West Pond Heliport,US
07MD,Baugher's Orchard Airport,US
07ME,Westbrook Heliport,US
07MI,Scott Airstrip,US
07MN,Dairyview Airport,US
07MO,Lake Sexton Airport,US
07MT,Glasgow Industrial Airport,US
07N,Bermudian Valley Airpark,US
07NC,Hawks Meadow Airport,US
07NH,Diving Rock Seaplane Base,US
07NJ,Hackensack UMC Palisades Heliport,US
07NV,Border Line Farm Airport,US
07NY,Mmc Heliport,US
07OH,Tennessee Gas Heliport,US
07OK,Pleasant Valley Airport,US
07OR,Bruce's Airport,US
07PN,Folmar Airport,US
07PR,Advanced Public Health of Isabela Heliport,PR
07SN,Churchill Airport,US
07TA,Salaika Aviation Airport,US
07TE,Cuddihy Field,US
07TN,Corntassel Airport,US
07TS,Cross-Country Estates Airport,US
07TX,Pecks Heliport,US
07UT,E Northrop Grumman Airport,US
07VA,Alpha Hotel Airport,US
07VT,Meadow STOLport,US
07WA,Multicare Deaconess Hospital Heliport,US
07WI,Bartell Strip,US
07WY,Stallions Airport,US
07XA,Luecke Heliport,US
07XS,Allen Ponderosa Heliport,US
07Y,Hill City-Quadna Mountain Airport,US
08AK,Fisher Airport,US
08AL,Little Lagoon Seaplane Base,US
08AR,Crittenden Regional Hospital Heliport,US
08AZ,Mesa Police Heliport,US
08B,Merrymeeting Field,US
08CA,PG&E Placerville Service Center Heliport,US
08CL,Kistler Ranch Airport,US
08CN,Tulare Motor Sports #1 Heliport,US
08CO,Terra Firma Airport,US
08CT,Seavair's Landing Seaplane Base,US
08F,City of Coalgate Airport,US
08FA,Duda Airstrip,US
08FD,Sunniland Ranch Airport,US
08FL,J. H. Hendrie Farms Airport,US
08G,Salt Fork Lodge Heliport,US
08GA,Sapelo Island Airport,US
08ID,Symms Airport,US
08II,Parkview Lagrange Hospital Heliport,US
08IL,Harms Airstrip,US
08IN,Winona Lake Seaplane Base,US
08IS,Hemmer RLA Restricted Landing Area,US
08KS,Alderson Airport,US
08KT,Methodist Health Heliport,US
08KY,Boss Airport,US
08LA,Air Oil Inc Nr 2 Heliport,US
08LL,Sauer Airport,US
08LS,Aeleron Airport,US
08MA,Wormid Airport,US
08MD,UM Saint Joseph Medical Center Heliport,US
08ME,Lindbergh Airport,US
08MI,Sparrow Hospital Heliport,US
08MN,Christenson Point Seaplane Base,US
08MO,Twin Oaks Airport,US
08MS,Williams Field,US
08MT,Matovich Airport,US
08N,Keller Brothers Airport,US
08NC,Whiteheart Farm Airport,US
08ND,Brecht Strip,US
08NE,Laurel Municipal Airport,US
08NH,Memorial Hospital Heliport,US
08NJ,St Barnabas Medical Center Heliport,US
08NR,Bell Mountain Airport,US
08NY,Md1 Airport,US
08OH,Kenley Airport,US
08OK,Parks Airport,US
08OL,Broken B Airport,US
08OR,Saxon Sycan Airport,US
08PA,Pocono Raceway Heliport,US
08PN,Thomson Heliport,US
08R,Richmond Airport,US
08SD,Douglas County Memorial Hospital Heliport,US
08TA,Rancho Del Lago Heliport,US
08TE,B J McCombs Sisterdale Airport,US
08TN,PTC Airport,US
08TS,Puesta Del Sol Airport,US
08TT,LZ Tango Charlie Airport,US
08TX,Cross Wind Airport,US
08U,Stevens-Crosby Airport,US
08VA,Springwood Airstrip,US
08WA,Manchester Laboratory Heliport,US
08WI,Pierick Airport,US
08XA,Knolle Ranch Airport,US
08XS,Peterson Airport,US
09AA,Sheldon Chalet Heliport,US
09AK,West Beaver Airport,US
09AL,Greene County Hospital & Nursing Home Heliport,US
09AR,Magnolia Hospital Heliport,US
09AZ,Stronghold Airport,US
09CA,Mee Memorial Hospital Heliport,US
09CL,Alta Sierra Airport,US
09CN,Tulare Motor Sports #2 Heliport,US
09CO,Cottonwood Field,US
09FA,Placid Lakes Airport,US
09FD,Cheryl-Lane Landings Airport,US
09FL,Sunnybreeze Airport,US
09GA,Sunbelt Strip,US
09I,International Falls Seaplane Base,US
09IA,Skydive Iowa Airport,US
09ID,Taylor Ranch Landing Area Airport,US
09II,Gibbons Field,US
09IL,Silver Cross Hospital Heliport,US
09IN,Gordon Airport,US
09IS,Swedish American Heliport,US
09KS,Coffman Airport,US
09KY,Baptist Hospital East Heliport,US
09LA,Era Helicopters Fourchon Helibase Heliport,US
09LL,Pine Hill Airport,US
09LS,West Feliciana Sheriff's Office Heliport,US
09MA,Kallander Field,US
09ME,Perrotti Skyranch Airfield,US
09MI,Michigan National Guard Headquarters Heliport,US
09MN,W Johnson Field,US
09MO,Hogue Farm Airport,US
09N,Airhaven Airport,US
09NC,William Irving Lewis Airport,US
09NE,Summer Hill Farm Airport,US
09NJ,Stonebridge Farm Helistop,US
09NR,Dakota Air Ranch Airport,US
09NY,Spring Lake Fire Department Heliport,US
09OK,Ragtime Aerodrome,US
09OR,Mid-Columbia Medical Center Heliport,US
09PA,Eagle Field,US
09PN,Hundley Residence Heliport,US
09S,Sullivan Lake State Airport,US
09TA,Lazy G Bar Ranch Airport,US
09TE,Running M Ranch Airport,US
09TN,Univ of Tennessee Medical Center Heliport,US
09TS,Pitcock Rosillos Mountain Ranch Airport,US
09TX,Smokey Mountain Ranch Airport,US
09VA,Alum Ridge STOLport,US
09VG,Augusta Medical Center Heliport,US
09W,South Capitol Street Heliport,US
09WA,Holy Family Hospital Heliport,US
09WI,Parkway Farm Strip,US
09XS,Baptist Medical Center Heliport,US
09Y,Wipline Seaplane Base,US
0AA6,Big Salmon Heliport,US
0AA7,Kalifornsky Meadows Airport,US
0AK,Pilot Station Airport,US
0AK0,Scotts Airport,US
0AK1,Anderson Lake Airport,US
0AK2,Yentna Bend Strip,US
0AK3,Parker Lake Airport,US
0AK5,Young Creek Airport,US
0AK6,Victory Airport,US
0AK7,Bradley Lake Hydroelectric Project Airstrip,US
0AK8,Pollux Heliport,US
0AK9,Falcon Lake Strip,US
0AL0,Huntsville Field,US
0AL1,Resort Airport,US
0AL2,Clay County Hospital Heliport,US
0AL3,Hospital Pad Heliport,US
0AL4,Dekalb Regional Medical Center Heliport,US
0AL5,Flomaton Airport,US
0AL6,D.W. Mcmillian Memorial Hospital Heliport,US
0AL7,Gadsden Regl Medical Center Heliport,US
0AL8,Brookwood Medical Center Heliport,US
0AL9,Wilson Creek Airport,US
0AR0,Northwest Medical Center Springdale Heliport,US
0AR1,Hooterville South Airport,US
0AR2,Mission Field-Marotti Memorial Airport,US
0AR3,Taylor's Air Strip,US
0AR4,Ozarks Community Hospital Heliport,US
0AR5,Rgnl Medical Center Heliport,US
0AR6,Ami National Park Medical Center Heliport,US
0AR7,Yancopin Airport,US
0AR8,Howard Memorial Hospital Heliport,US
0AR9,Eureka Springs Hospital Heliport,US
0AZ0,Arizona Heart Hospital Heliport,US
0AZ1,Taylor Field,US
0AZ2,Western Sky Airport,US
0AZ4,Flying Bucket Ranch Airport,US
0AZ5,Castle Well Airport,US
0AZ6,St Joseph's Hospital Heliport,US
0AZ7,Sunstate Heliport,US
0B2,Brewer Airport,US
0B7,Warren-Sugarbush Airport,US
0C1,Triple R Airport,US
0C2,Hinckley Airport,US
0C5,Canadian Lakes Airport,US
0C7,Grandpas' Farm Mendota Airport,US
0C8,Cushing Field Ltd Airport,US
0C9,Coach & Paddock Heliport,US
0CA0,Drew Medical Center Heliport,US
0CA1,Northside Airpark,US
0CA2,VA Greater Los Angeles Health Care Center Heliport,US
0CA3,Crawford Airport,US
0CA4,Shepherd Farm Airport,US
0CA5,Hoffman Private Airport,US
0CA6,Emory Ranch Airport,US
0CA7,Boeing Seal Beach (Rooftop) Heliport,US
0CA8,Ward Ranch Airport,US
0CA9,Blech Ranch Airport,US
0CD0,Delta County Memorial Hospital Heliport,US
0CD1,Colorado Plains Medical Center Heliport,US
0CD2,Foxx Valley Airport,US
0CD3,Branch's Heliport,US
0CD4,Kauffman Heliport,US
0CD5,Piñon Canyon Airport,US
0CD6,Exempla Good Samaritan Heliport,US
0CD7,Fox Hole Airport,US
0CD8,Prowers Medical Center Heliport,US
0CD9,Swedish S.W. Medical Heliport,US
0CL0,Yosemite Hidden Lake Ranch Airport,US
0CL1,Krey Field Airport,US
0CL2,Parking Lot Heliport,US
0CL3,John Nichols Field Airport,US
0CL4,Glen Fed Heliport,US
0CL5,The Atrium Heliport,US
0CL6,Bohunk's Airpark,US
0CL7,Good Samaritan Hospital Heliport,US
0CL8,Tera Ultralightport,US
0CL9,Sce San Jacinto Valley Service Center Heliport,US
0CN1,Fiorini Ranch Airport,US
0CN2,Sutter Butte Dusters Airport,US
0CO0,Longmont United Hospital Heliport,US
0CO1,Dave's Airport,US
0CO2,Crested Butte Airpark,US
0CO3,Greggs Nr 1 Airport,US
0CO4,Geo-Seis Helicopters Heliport,US
0CO5,Chenoweth Airport,US
0CO6,Flying M & M Ranch Airport,US
0CO7,Century Helicopters Heliport,US
0CO8,Cartwheel Airport,US
0CO9,Van Treese Airport,US
0CT0,Sharon Hospital Heliport,US
0CT1,Bristol-Myers Squibb Company Heliport,US
0CT2,Windham Hospital Heliport,US
0CT3,N B G H Heliport,US
0CT4,Burke Heliport,US
0CT5,St Francis Hospital Heliport,US
0CT6,Middletown Heliport,US
0CT7,Bridgeport Hospital Heliport,US
0CT8,Danbury Hospital Heliport,US
0CT9,Hartford Hospital Heliport,US
0D6,Wilber Municipal Airport,US
0D7,Ada Airport,US
0D9,Air Park North,US
0,Corydon Airport,US
0FA0,Doral Resort & Country Club Heliport,US
0FA1,Ott's Landing Airport,US
0FA2,Doctors Memorial Hospital #2 Heliport,US
0FA3,Brighton Helipad,US
0FA5,Briley Farm Seaplane Base,US
0FA6,Immokalee Helipad,US
0FD0,The 2A Ranch Airport,US
0FD1,Panhandle Helicopter LLC Heliport,US
0FD2,Hard Rock Stadium Heliport,US
0FD3,Dugger Field,US
0FD4,Cloverleaf Farms II Inc Heliport,US
0FD5,Breezy Knoll Airport,US
0FD6,Fulton Seaplane Base,US
0FD9,Joy Farms Airport,US
0FL0,Harper's Fly-In Ranch Airport,US
0FL1,Thompson Airfield,US
0FL2,Alligator Drink Seaplane Base,US
0FL3,Old Town Ems Heliport,US
0FL4,Jackson Heliport,US
0FL5,Lake Conway South Seaplane Base,US
0FL6,Stanchester Airport,US
0FL7,Wcpx Tv-6 Heliport,US
0FL8,Gary Gale Seaplane Base,US
0FL9,Mc Daniel Ranch Inc. Airport,US
0G0,North Buffalo Suburban Airport,US
0G5,Grand Marais/Cook County Seaplane Base,US
0GA0,Halls Flying Ranch Airport,US
0GA1,Mustang Field,US
0GA2,"Airnautique, Inc. Airport",US
0GA3,Ayresouth Airport,US
0GA4,Paradise Falls Airport,US
0GA5,Big Canoe Heliport,US
0GA6,Sunset Strip,US
0GA7,Hickory Level Airfield,US
0GA8,Paso Fino Farm Airport,US
0GA9,Roberta Industrial Park Airport,US
0GE0,Pinewood Airport,US
0GE1,Crystal Lake Airpark,US
0GE3,Lookout Mountain Airport,US
0GE4,Pecan Patch Airstrip,US
0GE5,Mountain Airpark,US
0GE7,Carpenter Airport,US
0GE9,Pegasus Ranch Airport,US
0H7,Kahoka Municipal Airport,US
